time_slot,front_morning,front_afternoon,front_evening,nassau_morning,nassau_afternoon,nassau_evening,pearse_morning,pearse_afternoon,pearse_evening
1,70.70333,72.219535,71.672715,65.179455,64.991264,69.28605,63.2888,69.627238,66.586548
2,72.347797,73.633255,72.373198,64.296625,68.128219,69.754053,62.226882,67.738822,63.18049
3,73.295855,70.462963,70.488912,65.93325,69.434151,71.733179,58.855516,68.018261,61.415402
4,68.220805,68.845925,65.51616,65.674095,71.200834,70.548703,63.740446,67.499413,61.93653
5,68.503677,71.828302,68.980025,67.74746,72.355946,69.940357,62.653538,65.046171,63.295983
6,75.004603,72.396502,71.826947,66.837202,72.518773,70.056099,63.723986,66.070619,64.250957
7,74.514827,70.571647,72.726187,66.3903,72.21106,68.938603,64.37209,65.922247,63.18647
8,72.323657,71.208845,71.759535,64.88298,69.222446,67.423776,64.680428,67.936426,64.083542
9,69.75557,69.877342,67.312607,65.099452,68.683179,65.789487,60.347502,65.559949,64.744443
10,69.841595,68.580298,66.47606,65.13745,67.031617,67.353195,61.262762,67.842375,65.903155
11,69.71384,68.221815,64.166128,65.582403,67.259436,68.228448,60.717012,68.100407,66.259995
12,71.29604,66.94163,64.976322,64.594655,65.836409,69.534153,60.473975,67.174345,66.518995
13,70.2997,67.713957,66.6269,62.333445,66.464712,66.829743,58.23125,68.65966,63.507375
14,67.409925,67.244155,66.539095,61.846047,67.247457,66.336169,57.532373,66.194813,64.724203
15,69.475487,69.321355,68.892972,60.021093,66.186293,64.917011,60.212297,67.538383,64.11063
16,68.51294,71.20678,71.180545,61.999098,65.637408,64.972813,62.664185,67.032283,64.345053
17,65.908515,69.004332,67.747438,63.486947,67.387718,66.289995,61.516965,69.095898,65.014495
18,67.24117,68.469403,68.189845,63.354097,65.866782,67.858009,59.120669,68.078258,63.192497
19,70.605412,70.335815,69.785472,65.802648,68.35614,50.90118,58.911412,67.656527,63.834992
20,66.917925,69.698032,66.971757,66.363798,68.237862,67.608499,61.53067,68.673293,64.491498
21,68.00669,69.791535,66.036465,65.560603,68.029382,67.848608,59.378505,69.164525,63.732995
22,69.17913,69.541953,66.787082,65.54948,68.126814,67.25505,58.731927,70.904848,65.705995
23,71.267783,70.248513,68.06786,67.88929,70.68163,69.258323,59.643538,71.720661,66.069493
24,68.181542,69.884932,64.131138,68.44622,72.787235,69.252169,58.134248,71.369865,66.254993
25,69.497697,71.344225,66.834915,64.471643,68.894161,66.522835,58.466547,72.409773,65.906493
26,68.293278,70.096862,65.244972,62.555475,67.550164,67.203498,59.524411,70.849494,67.234493
27,66.553702,70.530465,62.108252,61.57358,66.452303,66.973698,61.52208,69.769998,65.6575
28,67.45325,70.100783,65.81864,62.707483,66.160212,67.076417,61.680749,71.029237,63.525998
29,68.633162,67.928022,66.49176,66.64375,68.81423,67.528917,62.141527,72.493423,63.780995
30,70.751135,68.47423,68.383745,67.51182,70.523416,67.59744,63.252171,71.425684,61.858497
31,70.093968,69.416987,68.875737,71.081195,73.97811,70.013455,59.717883,71.07362,61.878495
32,70.474525,70.120278,67.060303,71.263288,73.565608,71.93002,60.413738,70.201045,61.449998
33,72.16926,71.658685,68.71586,65.89734,70.541787,69.217663,58.970618,70.215811,63.151992
34,72.874067,71.047417,70.982585,62.790315,67.528691,66.628546,59.809413,71.920802,63.994495
35,71.453258,69.901835,71.232857,62.276393,66.368518,67.20368,60.641379,71.308971,64.599495
36,72.30745,69.93371,72.530857,61.311492,66.581694,68.1502,60.723446,70.693538,67.042997
37,71.47221,71.384855,70.709727,61.420653,67.010772,68.985713,62.316392,72.310219,65.052998
38,70.42988,69.911322,71.215872,62.17821,67.777767,68.892008,62.24687,72.261045,64.691995
39,72.40809,69.213797,68.249022,63.454095,68.199393,69.253081,63.629957,70.94774,64.949497
40,70.923975,69.264615,66.956475,65.541228,67.307375,66.838885,63.900213,72.694712,64.34749
41,69.497248,69.148767,68.250465,68.780828,71.578997,67.75325,62.831719,70.162079,63.072495
42,71.98335,69.099215,69.134545,68.403648,72.174702,69.057141,62.427118,69.554744,64.622495
43,73.589045,70.69588,72.566547,64.270687,68.421,67.576292,61.3774,69.584115,64.711997
44,73.15813,69.982825,68.783353,64.346342,69.640651,67.326116,60.856352,68.839862,64.181497
45,70.74817,70.462282,68.29765,63.047678,69.120814,70.048592,63.238111,66.394648,65.700997
46,71.111942,72.40889,69.680467,65.971045,72.256643,68.684373,62.314741,65.15348,65.786495
47,70.862853,69.97467,65.878045,63.494475,70.654832,68.096236,61.554795,66.677444,65.275495
48,71.367595,72.966363,73.608047,59.58352,66.61813,65.013858,58.959727,68.913647,68.757497
49,69.169728,69.173528,69.535998,60.941335,67.100145,65.668605,57.549132,69.282293,68.481498
50,69.640903,68.11859,68.50478,63.001458,66.562255,66.477505,57.952328,71.756682,66.616493
51,70.90731,69.909807,67.75212,64.276297,66.37261,65.061722,57.697822,72.176707,64.77799
52,73.64028,70.633482,66.256307,61.802567,66.144395,65.54907,57.953569,71.453373,65.355495
53,72.876497,68.628565,65.322443,61.387493,66.762261,65.812786,57.164436,70.657814,64.826498
54,69.939005,69.145745,65.65371,61.261372,67.731487,67.552812,58.402934,69.335041,65.911495
55,67.811318,69.365535,63.027715,60.101815,66.392089,67.479223,62.316384,66.971977,63.057495
56,68.684095,69.120837,63.382435,61.663438,67.327865,68.197302,61.80599,64.534724,64.534
57,70.573657,68.717178,64.181597,62.007318,68.905098,69.451202,60.519968,65.766408,63.100495
58,69.95641,68.352913,62.108802,63.648398,68.71176,68.833452,60.643345,64.891032,64.926497
59,71.213642,69.949453,64.923952,65.199762,70.619375,68.373917,63.133335,66.473244,65.34
60,68.71233,70.394537,66.545372,66.407903,69.184702,69.209672,65.180354,67.763122,64.9585
61,67.480517,71.25581,67.696173,66.172548,71.720233,69.617939,63.292964,69.917151,66.237995
62,68.767027,69.827098,68.899293,62.126027,67.375365,66.326801,61.130864,70.159814,65.089493
63,70.112328,69.927445,69.72378,63.488247,68.208398,66.508507,61.815775,70.792033,64.50949
64,69.021852,68.380587,66.652843,63.103597,66.351806,66.502081,62.450699,68.989097,62.929497
65,70.07024,67.61825,64.696305,65.033132,69.152556,66.180171,62.249374,68.421492,63.281495
66,73.950915,73.953212,73.399107,68.14067,70.303033,68.694997,61.604325,68.440496,61.60149
67,72.329315,73.068463,69.118252,69.331873,73.306775,69.661698,61.25001,68.290135,63.210992
68,70.627682,70.80477,64.890058,70.580633,73.596899,68.818128,61.164354,70.847112,64.606495
69,71.484082,71.663465,67.055515,66.612392,70.970671,67.276571,62.544984,70.852454,65.805498
70,69.925835,71.016323,65.920343,67.067495,68.94811,65.418457,61.981975,73.575668,66.694495
71,70.43492,71.136003,67.31664,65.073962,67.272248,64.43538,61.014665,71.17605,68.266997
72,69.85526,73.15314,70.61214,62.238237,67.636102,64.39998,61.249864,70.886089,70.8535
73,70.459482,67.41305,67.474545,63.558145,69.251926,66.059522,60.795813,71.420834,72.028498
74,70.102502,68.19614,69.535687,65.199425,70.963773,67.830531,60.784208,69.938462,70.819995
75,69.504462,70.337805,69.94541,61.968482,68.261779,65.222508,59.807089,71.639362,69.017495
76,69.145608,69.066165,66.500628,63.259933,67.390854,65.513095,59.001945,72.304995,65.11499
77,69.827192,69.749723,65.316387,64.165558,68.255732,67.219785,59.571036,72.625862,65.468995
78,68.84368,70.740167,67.58448,65.334103,69.660916,68.051574,63.010781,69.278271,65.738493
79,66.895345,70.989055,68.53079,65.289797,69.987154,67.668051,63.177914,68.74724,64.019495
80,65.689065,70.820777,69.317915,62.48081,66.364635,66.16494,63.212353,67.918599,63.493495
81,65.598637,70.460835,68.384128,61.702322,65.720053,65.863179,64.668042,68.460775,62.769495
82,65.731637,70.48384,69.544427,60.832235,65.38805,66.065697,61.315197,65.72219,64.028495
83,69.453148,71.27989,68.680778,59.85582,66.630327,65.882813,59.457456,70.691962,65.005995
84,68.8141,70.877823,69.822575,59.078595,66.448205,64.793721,58.029272,69.717724,65.475493
85,68.6487,70.53152,69.666487,59.33606,65.016488,65.483055,60.075037,68.300395,65.927492
86,66.824458,69.990915,67.344498,61.131445,67.111242,64.697102,62.250846,67.059,66.6925
87,69.814583,69.8435,66.933455,64.23782,71.177005,65.365265,62.435894,68.849454,67.286497
88,72.476253,70.49833,66.837658,63.177627,69.537207,64.350772,63.537894,70.858495,66.574995
89,71.65929,70.563078,69.86099,60.133485,67.20211,64.557091,62.455488,70.183992,67.197992
90,68.921567,70.511005,71.084545,63.510895,68.662148,65.472565,60.164792,74.284852,70.19349
91,68.620645,70.289383,68.667447,66.72464,69.380714,67.535529,59.192835,76.31745,70.93299
92,67.9317,68.207598,67.803135,64.650415,68.247207,65.287599,60.060424,73.132987,68.620493
93,72.035658,69.684272,73.202095,64.396495,68.516283,63.984006,58.571241,70.956679,67.112493
94,69.942228,67.833533,68.36693,62.086208,67.064641,64.204139,61.727192,69.743549,65.064498
95,70.710093,68.411698,67.364643,63.206795,68.008221,65.453045,61.163995,71.767643,64.573493
96,70.782778,69.472617,70.4056,60.801783,68.450046,65.154957,62.090293,72.76588,66.812495
97,69.83372,68.73328,69.742865,64.710445,71.534589,68.6461,60.7075,72.082944,67.897998
98,69.558283,68.49534,66.942105,64.66476,72.46371,69.695173,61.512937,70.808087,65.409993
99,66.52778,68.223627,65.54187,66.642147,71.216171,69.422091,59.995506,71.729191,63.338
100,66.34237,68.459657,66.009928,64.543405,69.626947,67.470254,60.84363,73.356834,62.409992
101,68.130943,69.683688,67.38203,62.742907,68.835529,67.03135,58.8263,74.276845,63.832998
102,68.120395,71.184882,69.039433,64.791795,69.981112,67.576169,59.805739,73.492536,64.410495
103,70.683975,71.90778,75.111185,65.095295,70.244906,68.799293,63.459057,72.883638,64.588998
104,68.26885,71.044647,73.375035,67.36972,71.026608,69.872916,63.882937,71.57225,68.390495
105,65.825463,68.699393,69.914608,69.367963,73.467538,68.244804,62.503223,70.796577,66.380995
106,69.25577,73.910128,72.318475,71.198932,72.936143,70.006348,61.518183,72.921193,67.05199
107,67.605717,70.822205,68.788775,72.10365,72.004045,68.985979,62.148338,73.339712,66.188
108,69.914473,70.309337,69.938845,71.23967,70.362202,67.438774,62.910907,72.234658,66.521997
109,68.913205,68.533933,67.778325,72.051542,72.029406,67.906558,62.288683,73.576429,65.509493
110,68.990368,66.463895,67.810497,69.8664,69.201548,68.012073,63.980068,73.556945,64.235995
111,67.56108,67.047822,68.93465,69.80195,68.860834,67.245788,63.879407,74.293077,62.310997
112,65.809425,66.396362,66.024637,65.562843,69.18331,65.23555,65.098988,70.117449,62.915993
113,67.861097,68.54828,67.030732,63.337193,68.249114,64.539059,63.841681,70.202712,63.301992
114,67.41857,70.372298,69.926175,62.087945,67.996599,63.8974,60.385735,69.25805,63.138998
115,70.13544,69.53954,69.819293,61.293248,69.143243,64.489938,60.191769,68.777482,63.895495
116,69.184337,68.016095,67.645275,60.903405,67.437945,63.255897,59.675801,67.61264,64.732493
117,67.003833,66.819975,64.855412,59.940095,66.749171,65.104742,61.896663,68.623926,63.264493
118,68.436882,67.728335,65.713153,60.14871,65.857698,64.78746,62.994995,66.990895,65.467495
119,68.943848,67.4159,67.654248,61.404705,68.144967,64.832757,65.212456,67.433457,66.471495
120,70.203855,71.349272,70.380083,63.420762,68.729061,67.744029,65.358949,68.799028,65.144998
121,67.249555,71.041142,68.49052,64.751882,70.703549,67.795853,64.599405,72.449398,62.669995
122,66.349208,70.888713,70.02259,64.838628,69.320006,67.943271,61.823936,73.384811,62.431992
123,67.740445,72.0258,73.139765,61.424242,66.567793,66.588263,59.428334,69.703191,62.427995
124,68.201318,69.508803,72.283578,64.244085,68.983195,69.600448,59.412695,69.611845,62.257497
125,67.323103,70.01358,73.413557,65.59368,69.378582,70.020058,59.800536,69.246299,64.039995
126,67.858148,70.448178,72.552048,64.254185,69.10161,70.853201,62.633701,67.698536,63.195495
127,67.825455,71.04969,71.299077,66.557253,69.065583,71.252937,60.9892,70.183556,63.344497
128,69.43983,69.029355,71.420198,68.440448,69.934893,70.391345,59.573346,70.175362,61.620995
129,69.153383,69.221785,71.29219,68.231752,69.844998,70.06057,59.763908,71.3387,61.968995
130,68.80112,70.0504,72.330597,69.133095,69.946944,68.918068,60.471787,72.698556,62.408497
131,68.005648,71.348695,72.03388,66.48028,70.203921,67.457387,62.002976,72.244668,61.889498
132,70.380298,71.430168,72.547745,67.287545,71.368448,67.03127,59.646767,71.925395,62.898493
133,69.564167,71.315442,71.956373,66.076943,70.492691,65.098922,61.799867,69.784135,61.841493
134,69.439568,70.476457,70.71192,67.425075,72.254179,67.576361,63.332371,69.434061,59.720492
135,68.276138,71.107253,70.771253,66.991853,70.655844,66.96205,64.863527,68.720439,59.426995
136,72.727397,73.23942,74.79227,61.54506,66.863274,64.856102,63.751941,69.396549,61.664993
137,70.89577,71.731932,74.126932,61.169015,65.748293,66.959564,61.349662,71.395546,61.2895
138,70.298822,72.695188,73.872713,60.937195,65.318293,67.391284,60.66714,69.029146,60.583498
139,72.665468,73.686505,76.846117,63.88679,66.050457,69.421238,59.44209,68.197962,61.043993
140,70.586473,72.110595,74.4827,67.16283,70.508528,68.352284,58.231087,71.062719,60.529995
141,69.685875,71.411057,72.948512,68.257108,69.701345,67.497712,58.922395,70.130908,63.674495
142,70.002373,71.465538,74.118763,66.608107,67.805283,63.675855,59.130495,71.879842,61.972
143,69.326022,70.005335,70.70072,65.2206,67.405698,63.774173,60.963235,70.936892,61.752495
144,69.305035,70.730565,74.084572,63.627955,67.943542,63.926109,62.79359,70.125895,63.865495
145,69.166682,71.632148,72.770863,62.763517,68.560772,66.108354,64.746629,68.440008,63.075995
146,69.571835,69.79734,70.074292,66.196137,72.052202,68.815627,64.830618,69.520705,60.864498
147,70.713702,70.38369,70.069717,66.020068,71.911179,68.513142,64.56768,68.788543,60.910495
148,71.180437,68.99667,68.974095,62.94481,67.6993,68.871325,63.562845,68.415717,60.956992
149,70.91852,70.96201,70.942815,61.001147,68.158378,68.82766,63.905213,67.585845,58.816993
150,69.439843,70.138253,69.35397,61.702982,69.127533,66.073733,63.894765,68.620937,58.948995
