,,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150
wednesday,front_gate,afternoon,60.142,65.732,65.89399,67.56078,69.27142,71.92799,69.44901,71.32244,71.96799,71.082,71.1647,70.55306,69.746,67.58823,70.34489,70.154,71.02399,68.74117,67.12448,68.94199,68.19019,69.28979,67.67399,73.856,74.29607,72.46326,76.32,71.55882,68.25102,66.56599,67.158,67.12745,67.65102,67.90799,67.2549,65.60204,66.422,65.306,65.52941,65.09795,65.52599,66.7745,68.98979,69.11,70.492,71.18627,69.81632,69.396,65.84313,65.15306,65.35399,66.59999,66.812,69.63061,68.59,66.62352,67.54285,69.60399,68.7098,67.708,66.04285,62.962,64.12156,63.84489,67.12,73.76666,73.93999,71.54897,71.71599,72.8549,69.07142,65.414,62.00392,62.074,62.81632,62.44705,64.434,63.61224,63.326,63.14313,64.798,67.93877,70.49607,70.64,69.93469,68.566,71.42549,69.972,67.04693,67.21372,67.28399,65.77142,63.55799,63.18823,61.484,64.91428,63.82745,63.01999,67.68571,66.25399,70.54117,69.862,69.19795,69.53137,71.18999,76.49387,74.786,72.20588,69.32399,67.73265,66.20784,66.902,68.92244,69.03399,65.76078,63.03999,61.49591,64.28431,66.048,66.27755,69.90399,72.25294,69.654,67.26326,66.12745,67.23399,63.33265,63.91199,66.7,66.47799,68.7204,68.74705,65.86199,66.29387,69.766,69.27058,68.44,69.69795,68.95098,67.26199,63.95714,62.81,62.6745,60.27199,61.8102,61.82156,65.37599,65.17755,64.84399,68.98823
wednesday,front_gate,evening,76.65294,79.24,78.166,65.646,70.60199,74.466,75.34799,73.05,67.352,68.944,64.71399,63.28,66.596,65.61799,73.18799,74.68599,68.626,67.944,72.99799,67.08199,66.18799,68.676,72.39399,65.418,69.46799,66.254,61.916,68.228,66.30199,67.034,71.10199,70.94,73.326,74.136,70.75,71.342,72.246,74.294,72.14999,70.924,73.64399,73.64399,82.26,75.81599,72.05999,74.524,68.12399,81.426,72.622,70.33599,72.012,71.72599,71.25799,70.956,66.84399,65.42599,66.562,63.322,66.08199,68.386,68.87999,72.434,74.884,67.43399,64.982,81.91599,76.182,69.834,71.544,68.04,71.99399,76.8,70.214,74.032,72.16399,70.21799,69.29999,73.286,69.03199,69.354,68.438,68.08599,67.86799,70.16599,70.614,66.004,64.59199,67.21399,69.39199,71.01399,67.656,62.00999,69.854,63.64999,62.42199,68.136,66.282,63.80799,61.328,61.092,66.364,68.07,78.32799,74.146,66.45799,75.744,68.89199,71.79399,64.924,61.136,61.38,57.71999,62.538,68.64399,67.808,62.93399,59.33399,60.6,64.888,72.98599,69.494,70.986,75.588,72.224,74.976,72.502,72.50999,72.20999,70.95,70.83199,70.48399,73.682,72.35999,69.194,68.492,76.80199,76.07,75.34799,80.17199,76.93,74.692,77.63399,71.40399,77.93599,76.63999,70.40999,71.21199,69.09799,73.444,69.48799
wednesday,front_gate,morning,66.2196,66.85599,69.344,67.01,65.404,74.64799,70.31999,67.56799,64.74799,63.998,63.49199,69.98399,73.412,68.086,67.836,65.094,61.15199,61.40599,66.32,63.574,65.10799,69.454,67.78,67.83799,67.838,68.11399,64.088,64.76399,67.078,75.69999,67.95399,63.244,62.83799,61.28,64.27999,71.87599,68.14999,68.04799,75.51599,73.60199,68.49399,73.61799,71.43599,74.782,70.96799,70.31399,72.646,69.53199,68.81999,71.134,70.684,70.50799,65.42599,64.30799,63.876,63.15999,69.61999,69.558,70.64799,63.90599,61.598,59.73999,65.47199,71.742,71.7,71.172,67.09599,64.5,70.16399,71.276,71.10999,66.37999,71.18999,69.23599,67.57999,67.352,67.05199,62.73199,60.852,58.908,59.352,60.94199,69.692,64.51,63.71999,67.514,73.51799,81.67,73.83599,68.016,68.632,72.276,79.67599,79.35399,75.95999,76.60799,77.398,74.274,68.046,65.222,64.92999,67.042,71.666,65.57799,64.12599,68.164,68.26599,64.65399,69.21399,72.7,70.92599,72.312,73.16599,71.656,80.662,77.29399,74.834,71.56,74.38599,69.176,66.772,61.814,60.31399,64.22599,62.93599,69.12999,64.38999,67.25199,72.99599,70.368,65.896,69.19799,67.78199,71.34,71.43399,76.57,74.80799,76.762,80.366,74.842,72.29199,71.67,71.34399,64.136,69.316,74.16,75.424,77.036,77.116,76.572
wednesday,nassau_st_gate,afternoon,69.66571429,69.30346939,67.43938776,71.28204082,68.59693878,70.51408163,72.9364,69.25612245,73.09673469,74.36061224,75.2,74.45285714,76.29346939,75.20510204,72.24163265,73.59877551,77.21469388,69.5622,75.23755102,72.72571429,73.6566,70.53326531,70.97877551,72.62693878,75.70285714,75.36021739,74.78163265,74.79326531,75.63020408,76.57204082,74.32632653,73.13204082,70.1688,71.28897959,71.00326531,73.68857143,76.4002,75.54346939,76.84653061,75.87306122,78.15061224,76.81938776,77.0444,77.00469388,76.43612245,75.4255102,74.92836735,75.82693878,75.867,74.37163265,75.23795918,79.60795918,77.4684,79.75530612,79.42081633,80.7777551,78.9378,75.96244898,75.95877551,72.48632653,78.5398,78.14755102,77.20571429,73.6776,80.03836735,77.0006,76.83591837,78.4678,78.97265306,78.13,75.6058,76.29673469,76.736,75.79612245,78.7268,76.87122449,77.38979592,76.34163265,77.0998,75.73395833,76.08836735,73.2358,75.58591837,73.8948,71.05816327,74.21918367,73.26693878,74.871,74.60163265,77.5916,76.3344898,73.7764,75.83612245,72.5358,74.08469388,77.96959184,76.35346939,76.4404,75.30183673,76.9198,78.44673469,76.4377551,76.01632653,72.1728,72.28265306,70.70857143,72.5206,71.81632653,75.12061224,76.8,75.77571429,75.5508,75.90041667,74.73480769,76.35211538,77.27692308,76.87530612,74.4432,74.69387755,72.95510204,75.60857143,77.4808,74.7977551,76.0658,77.2374,76.34204082,75.4652,78.55673469,74.0386,73.27081633,74.5114,77.0114,75.07857143,77.0986,76.73877551,74.9574,76.04714286,72.8666,73.04693878,74.79734694,72.4338,74.97959184,75.7924,74.6752,76.3546,72.05571429,72.37857143,69.288,74.30836735,76.4926
wednesday,nassau_st_gate,evening,75.96183673,75.76836735,77.50795918,78.06489796,77.2144898,75.56693878,75.913,73.64081633,74.12857143,75.57693878,75.61938776,76.4768,74.51163265,77.18673469,74.09285714,77.10510204,75.564,76.89795918,75.05673469,72.72734694,74.38408163,74.4994,75.2644898,73.00387755,74.05204082,70.41326531,71.0414,72.69755102,73.04204082,71.52510204,69.78591837,73.0422,72.5155102,73.37387755,74.02653061,74.66061224,73.79571429,75.4904,76.10244898,75.39387755,74.00408163,74.5722449,73.73,73.9777551,74.87346939,71.42469388,72.73918367,71.9776,73.3416,73.8544898,71.14959184,70.14244898,72.15367347,71.61591837,72.95061224,72.71122449,75.12734694,72.2472,68.46836735,68.29591837,68.28061224,67.27387755,69.99387755,69.5655102,69.9125,73.19183673,72.103,70.84918367,68.77816327,68.50367347,68.4768,69.60979592,74.31877551,76.66020408,74.52673469,74.263,69.80040816,69.24693878,69.60367347,72.65833333,67.8954902,67.761,66.44040816,68.94734694,68.65,66.6055102,64.00897959,65.15959184,68.98632653,69.4352,74.11734694,67.46102041,67.69061224,66.52857143,70.0184,71.20734694,74.62326531,73.27204082,73.22693878,71.35,71.9802,74.87938776,75.10918367,75.82693878,73.99102041,77.369,74.35938776,73.57346939,68.26408163,71.8356,70.75102041,70.2655102,70.04489796,70.943,72.87040816,71.52979592,73.78040816,73.6104,72.32122449,75.54877551,74.67102041,73.05081633,70.83285714,72.518,73.98938776,73.17469388,67.02816327,65.67142857,67.52,65.68102041,65.47204082,67.0208,64.5055102,67.74392157,70.88122449,69.5955102,73.8377551,70.41387755,72.96653061,66.31020408,68.16673469,65.90918367,69.078,67.33653061,68.86489796,70.8077551,69.81653061,71.4948,72.81061224,67.7855102
wednesday,nassau_st_gate,morning,70.9296,65.15653,62.36102,59.2264,62.85387,58.43081,59.69775,61.289,63.65183,65.58183,68.77163,69.49265,64.6438,65.8702,62.7504,70.7004,75.5878,73.3504,74.4346,72.7212,68.95244,68.73795,66.40918,63.18489,63.93459,63.30591,60.68632,62.90795,70.19102,67.6853,67.93079,66.66918,63.21938,62.19326,65.38959,63.898,61.43061,61.22285,63.6404,63.31693,65.29734,64.2886,63.01877,61.68938,63.79673,66.3202,64.05591,62.89408,66.49734,65.49183,68.7132,67.37428,65.43599,61.36551,61.50326,64.56775,64.1453,63.4016,61.46306,61.62163,60.9802,62.68612,66.871,64.7504,67.00653,68.51469,64.22551,68.85653,63.2216,65.73999,69.42387,62.27897,62.22259,63.67571,63.44795,62.85775,63.23224,62.29244,63.6072,64.75326,62.2553,61.13897,59.5653,60.0264,60.40224,61.48979,60.6053,61.70653,59.59795,63.8796,64.14857,66.67367,67.23,63.66285,66.88719,59.90714,62.54979,58.02306,65.8146,61.50163,60.87163,62.18918,64.12719,63.13489,62.52387,63.99775,70.09061,68.48469,72.6742,74.56163,69.88183,63.29339,62.43877,60.61979,57.22102,59.82163,60.2184,62.34285,62.21285,59.35306,54.77755,60.29653,56.97099,59.46836,66.27673,63.02877,70.94102,69.3498,67.21102,65.5704,59.82714,61.77819,61.70979,61.68632,66.44142,61.28224,61.51408,60.62879,68.64918,67.41734,67.03244,69.10244,66.9664,64.89183,60.72408,59.86857,59.07428,59.59326,59.2306,60.03795
wednesday,pearse_st_gate,afternoon,67.66078,67.582,67.614,72.942,63.584,67.012,64.70199,69.23,65.272,65.716,66.188,66.01199,69.676,66.75799,70.808,68.072,76.21,72.65599,69.384,71.118,70.69599,71.98799,70.51,71.326,72.578,70.48599,69.26999,72.42599,70.75999,68.17999,66.88599,68.862,75.33399,78.33399,75.558,74.37199,75.72599,73.172,70.56799,69.868,68.05799,71.72,70.62999,72.06999,71.374,65.956,67.54999,65.792,69.36799,75.732,76.51199,78.45999,77.06799,70.712,66.81799,66.376,69.754,71.06199,72.24399,74.874,72.682,71.824,68.74799,69.084,65.79199,66.722,70.374,72.2,68.906,71.012,70.352,74.89,68.22199,66.51799,70.024,75.01,76.42999,72.656,69.71999,69.41799,62.5,52.77678,74.23999,71.666,65.11599,69.158,73.40399,74.948,70.68599,74.198,73.28799,71.436,72.282,72.146,76.83599,79.83999,78.29199,75.898,74.694,74.55199,73.288,69.59999,69.80399,70.35799,68.90799,69.61599,70.388,69.39799,73.358,72.45199,69.364,68.18,69.788,69.656,69.46999,69.544,74.59799,72.04999,71.708,71.56999,74.396,78.042,74.132,68.91199,69.52999,69.154,71.03799,67.556,68.414,70.08599,72.45,74.928,69.58799,68.01199,69.562,71.246,76.56999,71.42799,73.03599,75.348,72.328,75.02999,72.83799,75.406,73.02799,73.75199,71.91199,73.146,77.24999,75.62
wednesday,pearse_st_gate,evening,64.78431,60.84199,58.35199,59.63599,62.7653,63.59215,60.13799,58.84999,61.15599,68.344,69.30399,68.558,67.07551,68.35882,69.71799,71.06199,70.92399,67.806,65.34799,64.322,67.12999,68.286,69.22199,71.48,70.93799,76.57799,67.81,64.02,67.944,69.664,67.608,66.52999,68.11399,69.39599,68.918,68.058,69.554,70.21399,71.114,70.02999,69.766,74.54999,76.088,72.4,72.94199,71.646,71.832,76.402,72.29,71.39,69.29999,69.20199,70.398,74.436,71.102,69.628,68.456,70.254,67.834,68.056,73.756,73.35199,71.72399,67.482,69.60199,67.10399,67.61199,69.48799,68.804,69.64199,72.884,75.88,74.07199,73.15199,68.20799,64.82599,67.85399,67.95999,67.79399,66.444,67.7,70.41999,67.608,69.40399,75.18999,71.686,67.69999,67.27799,65.008,66.43999,69.14799,63.342,61.38199,61.188,59.47999,62.696,63.892,63.43399,60.012,63.13399,69.57399,68.36999,66.628,67.476,67.274,68.93999,67.036,69.072,71.36799,71.85399,67.73999,71.32999,70.84599,65.078,62.70399,64.61199,60.21999,59.83,62.952,61.156,58,64.76999,64.896,63.82999,64.79799,64.48399,66.55,61.37399,59.03199,59.604,64.948,63.26199,64.014,60.05999,59.67999,61.664,58.326,58.238,56.14199,56.79399,61.51599,60.404,57.07199,58.98399,61.604,59.41399,60.82199,65.45599,60.95199,56.07199
wednesday,pearse_st_gate,morning,65.268,63.63799,62.11372,64.16122,63.568,66.49399,67.882,69.06862,67.87755,65.81999,64.84313,65.44693,66.274,66.33599,66.312,67.6745,65.51836,66.90199,60.88627,59.07551,59.86999,62.02799,64.706,71.04705,68.30408,66.66799,69.26274,66.93673,68.78799,70.686,69.78199,67.09215,60.66326,59.87799,65.86274,68.16326,70.95,72.13,68.054,68.87058,65.45306,71.52999,70.32941,70.94489,72.362,68.036,67.218,68.87647,65.40204,61.076,59.04313,57.58979,57.89999,59.91632,69.67599,64.4745,63.18163,68.39399,75.46666,78.82857,70.32549,67.25102,67.328,70.53333,73.84285,71.684,71.3647,71.31836,72.42941,68.96326,68.11,63.59607,67.69387,70.09999,70.12799,67.24199,63.62399,65.37799,69.242,74.938,76.326,77.592,79.42199,72.284,74.706,68.102,69.146,74.03,72.23,68.27999,66.806,65.292,63.5,66.898,62.63399,68.078,66.49,68.61,72.61799,70.28799,68.78199,69.316,72.26999,71.322,70.492,69.15,69.71,70.776,69.418,68.88599,75.442,74.51199,75.162,67.71799,64.91599,63.386,68.87,71.23199,76.486,73.66,74.048,73.546,73.524,70.114,67.7,72.72599,72.24399,71.608,70.77399,69.026,71.166,67.642,65.29,71.56999,71.41599,66.32599,61.92,60.17799,58.808,60.73799,62.92599,66.19599,71.30599,73.384,74.812,75.91599,76.32999,73.38199,71.012,68.246
thursday,front_gate,afternoon,82.05294,84.64,83.566,71.04599,76.002,79.86599,80.748,78.45,72.752,74.34399,70.114,68.68,71.99599,71.01799,78.588,80.08599,74.026,73.344,78.39799,72.48199,71.588,74.07599,77.794,70.818,74.86799,71.654,67.31599,73.628,71.702,72.434,76.502,76.34,78.72599,79.536,76.15,76.742,77.646,79.694,77.54999,76.32399,79.04399,79.044,87.65999,81.21599,77.46,79.92399,73.524,86.82599,78.02199,75.736,77.41199,77.12599,76.65799,76.35599,72.24399,70.826,71.96199,68.722,71.48199,73.78599,74.27999,77.83399,80.284,72.834,70.38199,87.316,81.58199,75.234,76.944,73.43999,77.394,82.2,75.614,79.432,77.564,75.61799,74.7,78.68599,75.06799,75.35399,74.438,74.08599,73.86799,76.16599,76.614,72.004,70.59199,73.21399,75.39199,77.01399,73.656,68.01,75.85399,69.65,68.42199,74.136,72.282,69.80799,67.328,67.092,72.364,74.06999,84.32799,80.146,72.45799,81.74399,74.89199,77.79399,70.924,67.136,67.38,63.71999,68.53799,74.64399,73.808,68.93399,65.33399,66.6,70.88799,78.98599,75.49399,76.986,81.58799,78.224,80.976,78.502,78.50999,78.20999,76.95,76.83199,76.48399,79.682,78.35999,75.194,74.492,82.80199,82.06999,81.34799,86.17199,82.93,80.692,83.634,77.40399,83.936,82.63999,76.40999,77.21199,75.09799,79.444,75.48799
thursday,front_gate,evening,71.85294,74.44,73.36599,60.84599,65.80199,69.66599,70.548,68.24999,62.55199,64.14399,59.914,58.47999,61.796,60.818,68.38799,69.88599,63.82599,63.14399,68.198,62.28199,61.38799,63.87599,67.59399,60.61799,64.668,61.45399,57.116,63.42799,61.502,62.23399,66.30199,66.13999,68.526,69.33599,65.94999,66.542,67.44599,69.49399,67.34999,66.124,68.844,68.84399,77.45999,71.016,67.26,69.724,63.324,76.626,67.822,65.536,67.212,66.92599,66.45799,66.15599,62.044,60.626,61.762,58.52199,61.282,63.586,64.07999,67.634,70.08399,62.634,60.182,77.11599,71.38199,65.03399,66.74399,63.24,67.194,72,65.41399,69.23199,67.36399,65.418,64.5,68.486,75.752,77.75399,76.83799,76.486,76.26799,78.566,79.014,74.404,72.99199,75.614,77.792,79.414,76.056,70.40999,78.25399,72.05,70.822,76.536,74.682,72.208,69.728,69.492,74.76399,76.46999,86.728,82.54599,74.858,84.14399,77.292,80.19399,73.324,69.536,69.78,66.11999,70.938,77.04399,76.208,71.33399,67.73399,69,73.28799,81.38599,77.894,79.386,83.988,80.62399,83.376,80.902,80.91,80.60999,79.34999,79.232,78.88399,82.082,80.76,77.59399,76.892,85.202,84.46999,83.748,88.572,85.33,83.09199,86.03399,79.804,86.33599,85.04,78.81,79.61199,77.49799,81.844,77.888
